YEAR,REGION,NAME
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,MIDDLE EAST & AFRICA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,ASIA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,ASIA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,LATIN AMERICA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,ASIA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,NA,NA
2017,ASIA,NA
2017,EUROPE,NA
2017,OCEANIA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,ASIA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,ASIA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,ASIA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,NA,NA
2017,NA,NA
2017,OCEANIA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,ASIA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,OCEANIA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,OCEANIA,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,NA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,ASIA,NA
2017,OCEANIA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,MIDDLE EAST & AFRICA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,NA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,NA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,NA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,NA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,MIDDLE EAST & AFRICA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,NA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,NA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,OCEANIA,NA
2017,NA,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,ASIA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,OCEANIA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,MIDDLE EAST & AFRICA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,ASIA,NA
2017,NA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,OCEANIA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,OCEANIA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,MIDDLE EAST & AFRICA,NA
2017,NA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,NA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,NA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,NA,NA
2017,NA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,NA,NA
2017,NA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,NA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,LATIN AMERICA,NA
2017,LATIN AMERICA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,NA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,NA,NA
2017,EUROPE,NA
2017,NA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,LATIN AMERICA,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,OCEANIA,NA
2017,NA,NA
2017,EUROPE,NA
2017,OCEANIA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,NA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,NA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,NA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,LATIN AMERICA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,NA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,NA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,EUROPE,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
2017,US / CANADA,NA
