YEAR,REGION,NAME
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,MIDDLE EAST & AFRICA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,US / CANADA,SUMMARIZATION
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,RESEARCH
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,US / CANADA,LEARNING
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,NA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,NA
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,US / CANADA,ENTERTAINMENT
2017,US / CANADA,ENTERTAINMENT
2017,EUROPE,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,NA,RESEARCH
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,NA,ANALYSIS
2017,EUROPE,SUMMARIZATION
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,SUMMARIZATION
2017,NA,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,US / CANADA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,NA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,NEWS
2017,US / CANADA,ENTERTAINMENT
2017,MIDDLE EAST & AFRICA,SUMMARIZATION
2017,EUROPE,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,US / CANADA,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,LEARNING
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,SUMMARIZATION
2017,NA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,OCEANIA,ANALYSIS
2017,NA,ANALYSIS
2017,LATIN AMERICA,ANALYSIS
2017,US / CANADA,LEARNING
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,SUMMARIZATION
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,ASIA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,SUMMARIZATION
2017,US / CANADA,SUMMARIZATION
2017,NA,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,NA,ANALYSIS
2017,OCEANIA,ANALYSIS
2017,US / CANADA,LEARNING
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,SUMMARIZATION
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,MIDDLE EAST & AFRICA,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,ASIA,ANALYSIS
2017,NA,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,OCEANIA,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,OCEANIA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,LEARNING
2017,EUROPE,ANALYSIS
2017,EUROPE,LEARNING
2017,EUROPE,LEARNING
2017,EUROPE,ANALYSIS
2017,MIDDLE EAST & AFRICA,ENTERTAINMENT
2017,NA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,SUMMARIZATION
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,NA,ANALYSIS
2017,NA,SUMMARIZATION
2017,US / CANADA,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,LATIN AMERICA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,SUMMARIZATION
2017,EUROPE,ENTERTAINMENT
2017,NA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,LEARNING
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,SUMMARIZATION
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,NA,ANALYSIS
2017,NA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,RESEARCH
2017,NA,LEARNING
2017,NA,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,LATIN AMERICA,ANALYSIS
2017,LATIN AMERICA,ANALYSIS
2017,EUROPE,RESEARCH
2017,US / CANADA,RESEARCH
2017,NA,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,NA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,NA,ENTERTAINMENT
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ANALYSIS
2017,LATIN AMERICA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,LEARNING
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,NA,OTHER
2017,US / CANADA,ANALYSIS
2017,LATIN AMERICA,ANALYSIS
2017,LATIN AMERICA,RESEARCH
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,RESEARCH
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,OCEANIA,ANALYSIS
2017,NA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,OCEANIA,DECISION MAKING
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ANALYSIS
2017,LATIN AMERICA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,LEARNING
2017,NA,NA
2017,EUROPE,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,EUROPE,ENTERTAINMENT
2017,EUROPE,ENTERTAINMENT
2017,NA,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,EUROPE,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,SUMMARIZATION
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ENTERTAINMENT
2017,US / CANADA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,NA,SUMMARIZATION
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,LATIN AMERICA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,LATIN AMERICA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,US / CANADA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
2017,EUROPE,ANALYSIS
2017,NA,ENTERTAINMENT
2017,US / CANADA,ANALYSIS
2017,EUROPE,NA
2017,US / CANADA,ANALYSIS
2017,EUROPE,ENTERTAINMENT
2017,EUROPE,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,NA,ANALYSIS
2017,US / CANADA,SUMMARIZATION
2017,US / CANADA,ANALYSIS
2017,EUROPE,SUMMARIZATION
2017,US / CANADA,ANALYSIS
2017,US / CANADA,ANALYSIS
2017,EUROPE,ANALYSIS
