YEAR,REGION,NAME
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,SCIENTISTS
2017,LATIN AMERICA,GENERAL PUBLIC
2017,MIDDLE EAST & AFRICA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,OCEANIA,ANALYSTS
2017,EUROPE,SCIENTISTS
2017,NA,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,SCIENTISTS
2017,US / CANADA,PROJECT MANAGERS
2017,EUROPE,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,SCIENTISTS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,SCIENTISTS
2017,EUROPE,PRODUCT MANAGERS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,SCIENTISTS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,PRODUCT MANAGERS
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,NA,GENERAL PUBLIC
2017,EUROPE,PROJECT MANAGERS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ENGINEERS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ENGINEERS
2017,US / CANADA,ANALYSTS
2017,OCEANIA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,NA,GENERAL PUBLIC
2017,OCEANIA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,OCEANIA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,OCEANIA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,OCEANIA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,EUROPE,ENGINEERS
2017,US / CANADA,PROJECT MANAGERS
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ENGINEERS
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,MEDICAL PROFESSIONALS
2017,US / CANADA,PROJECT MANAGERS
2017,US / CANADA,ANALYSTS
2017,OCEANIA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,ASIA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,ENGINEERS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,MEDICAL PROFESSIONALS
2017,MIDDLE EAST & AFRICA,EXECUTIVES
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,PROJECT MANAGERS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ENGINEERS
2017,NA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,LATIN AMERICA,OTHER
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,ASIA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,EUROPE,JOURNALISTS
2017,EUROPE,ANALYSTS
2017,ASIA,ENGINEERS
2017,EUROPE,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,LATIN AMERICA,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,EXECUTIVES
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,EUROPE,ANALYSTS
2017,US / CANADA,PRODUCT MANAGERS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,SCIENTISTS
2017,ASIA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,NA,ANALYSTS
2017,ASIA,ENGINEERS
2017,EUROPE,ANALYSTS
2017,OCEANIA,ENGINEERS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,LATIN AMERICA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,ASIA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,ASIA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,ASIA,ENGINEERS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,NA,GENERAL PUBLIC
2017,NA,ANALYSTS
2017,OCEANIA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,EXECUTIVES
2017,US / CANADA,CLIENTS
2017,NA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,EUROPE,PRODUCT MANAGERS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,ASIA,GENERAL PUBLIC
2017,US / CANADA,PROJECT MANAGERS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,OCEANIA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,SCIENTISTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,SCIENTISTS
2017,US / CANADA,ANALYSTS
2017,LATIN AMERICA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,PRODUCT MANAGERS
2017,US / CANADA,PROJECT MANAGERS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,PRODUCT MANAGERS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,OCEANIA,ANALYSTS
2017,LATIN AMERICA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,EUROPE,PRODUCT MANAGERS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,EXECUTIVES
2017,US / CANADA,MEDICAL PROFESSIONALS
2017,US / CANADA,EXECUTIVES
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ENGINEERS
2017,US / CANADA,PRODUCT MANAGERS
2017,LATIN AMERICA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,PRODUCT MANAGERS
2017,LATIN AMERICA,MEDICAL PROFESSIONALS
2017,US / CANADA,ANALYSTS
2017,NA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,PROJECT MANAGERS
2017,US / CANADA,ANALYSTS
2017,LATIN AMERICA,SCIENTISTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,LATIN AMERICA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,EXECUTIVES
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,NA,GENERAL PUBLIC
2017,EUROPE,ENGINEERS
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,NA,GENERAL PUBLIC
2017,US / CANADA,OTHER
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,EUROPE,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,PRODUCT MANAGERS
2017,EUROPE,ANALYSTS
2017,EUROPE,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,MEDICAL PROFESSIONALS
2017,EUROPE,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,ASIA,ANALYSTS
2017,OCEANIA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,PROJECT MANAGERS
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,OTHER
2017,MIDDLE EAST & AFRICA,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,ENGINEERS
2017,US / CANADA,PROJECT MANAGERS
2017,US / CANADA,SCIENTISTS
2017,US / CANADA,GENERAL PUBLIC
2017,NA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,EUROPE,ANALYSTS
2017,EUROPE,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,EXECUTIVES
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,NA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,NA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,NA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,STAFF
2017,US / CANADA,ANALYSTS
2017,NA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,EUROPE,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,NA,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,NA,SCIENTISTS
2017,NA,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,NA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,MIDDLE EAST & AFRICA,GENERAL PUBLIC
2017,EUROPE,PROJECT MANAGERS
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,NA,EXECUTIVES
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,NA,NA
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,SCIENTISTS
2017,EUROPE,ANALYSTS
2017,NA,GENERAL PUBLIC
2017,US / CANADA,SCIENTISTS
2017,NA,ANALYSTS
2017,US / CANADA,ENGINEERS
2017,US / CANADA,GENERAL PUBLIC
2017,NA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,OCEANIA,ANALYSTS
2017,NA,SCIENTISTS
2017,LATIN AMERICA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,EUROPE,PRODUCT MANAGERS
2017,ASIA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,EXECUTIVES
2017,US / CANADA,GENERAL PUBLIC
2017,NA,PRODUCT MANAGERS
2017,US / CANADA,GENERAL PUBLIC
2017,NA,GENERAL PUBLIC
2017,OCEANIA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,ANALYSTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,US / CANADA,SCIENTISTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,SCIENTISTS
2017,US / CANADA,EXECUTIVES
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,NA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,NA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,MIDDLE EAST & AFRICA,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,ASIA,GENERAL PUBLIC
2017,NA,ANALYSTS
2017,EUROPE,SCIENTISTS
2017,US / CANADA,ANALYSTS
2017,US / CANADA,GENERAL PUBLIC
2017,US / CANADA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,ENGINEERS
2017,EUROPE,GENERAL PUBLIC
2017,OCEANIA,GENERAL PUBLIC
2017,EUROPE,PRODUCT MANAGERS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,OCEANIA,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,PROJECT MANAGERS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,MIDDLE EAST & AFRICA,GENERAL PUBLIC
2017,NA,GENERAL PUBLIC
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
2017,EUROPE,GENERAL PUBLIC
2017,EUROPE,ANALYSTS
